Date,Predicted
2019-12-27,52751.30798358189
2019-12-30,52767.72356981095
2020-01-02,52784.13915604001
2020-01-03,52800.554742269065
2020-01-06,52816.97032849812
2020-01-07,52833.38591472718
2020-01-08,52849.80150095624
2020-01-09,52866.217087185294
2020-01-10,52882.63267341435
2020-01-13,52899.04825964341
2020-01-14,52915.463845872466
2020-01-15,52931.87943210152
2020-01-16,52948.29501833058
2020-01-17,52964.71060455964
2020-01-20,52981.126190788695
2020-01-21,52997.54177701775
2020-01-22,53013.95736324681
2020-01-23,53030.372949475866
2020-01-28,53046.78853570492
2020-01-29,53063.20412193398
2020-01-30,53079.61970816304
2020-01-31,53096.035294392095
2020-02-03,53112.45088062115
2020-02-04,53128.86646685021
2020-02-05,53145.28205307927
2020-02-06,53161.697639308324
2020-02-07,53178.11322553738
2020-02-10,53194.52881176644
2020-02-11,53210.944397995496
2020-02-12,53227.35998422455
2020-02-13,53243.77557045361
2020-02-14,53260.19115668267
2020-02-17,53276.606742911725
2020-02-18,53293.02232914078
2020-02-19,53309.43791536984
2020-02-20,53325.8535015989
2020-02-21,53342.26908782795
2020-02-24,53358.68467405701
2020-02-25,53375.10026028607
2020-02-26,53391.515846515125
2020-02-27,53407.93143274418
2020-02-28,53424.34701897324
2020-03-02,53440.7626052023
2020-03-03,53457.178191431354
2020-03-04,53473.59377766041
2020-03-05,53490.00936388947
2020-03-06,53506.424950118526
2020-03-09,53522.84053634758
2020-03-10,53539.25612257664
2020-03-11,53555.6717088057
2020-03-12,53572.087295034755
2020-03-13,53588.50288126381
2020-03-16,53604.91846749287
2020-03-17,53621.33405372193
2020-03-18,53637.749639950984
2020-03-19,53654.16522618004
2020-03-20,53670.5808124091
2020-03-23,53686.996398638155
2020-03-24,53703.41198486721
2020-03-25,53719.82757109627
2020-03-26,53736.24315732533
2020-03-27,53752.658743554384
2020-03-30,53769.07432978344
2020-03-31,53785.4899160125
2020-04-01,53801.905502241556
2020-04-02,53818.32108847061
2020-04-03,53834.73667469967
2020-04-06,53851.15226092873
2020-04-07,53867.567847157785
